name,price,sku,description,part_no,brand,terrain_type,vehicle_type,drive_train,scale,image
Traxxas 1/16 Boss 302 Mustang,$349.99,20334730404,"The Boss 302 is an impressive street machine with rocker actuated coil-over shocks, full-time 4WD, and unmistakable Mustang style—all fully assembled and Ready-To-Race®! The model is based on Traxxas' innovative 1/16 scale chassis, an impressive platform designed for pure performance. Hang it out in the turns and hustle down the straights with the perfect blend of speed, power, and traction—4WD makes it easy to ride the ragged edge of oversteer as though you had the pedal to the floor in a full-size Boss 302. The innovative suspension system has been expertly engineered for high-performance driving right down to the oil filled, threaded-body GTR shocks and firm, road-tuned springs. The all-wheel drive system rides on full ball-bearings and delivers smooth efficient power through Traxxas' Torque-Control™ slipper clutch and proven telescoping u-joint drive shafts. Every detail has been maximized to deliver the thrilling performance epitomized by the Mustang Boss 302.",7304,Traxxas,On-Road,"Touring,Scale Replica",4WD,1/16,7304-side_mustang_red.jpg
Traxxas 4Tec 2.0 Ford Gt Blue,$379.99,20334830616,"The Traxxas 4-Tec 2.0 Touring Car captures legendary Ford GT styling in a stunning 1/10 scale replica that is faithful to the original. Every detail is there including the taillights and exhaust tips. Built to be driven, this Ford GT replica rests on the Traxxas 4-Tec 2.0 chassis, and is like nothing Traxxas has ever produced in the past.",83056-4,Traxxas,On-Road,"Touring,Scale Replica",4WD,1/10,tra83056-4-blue.jpg
Traxxas 4Tec 2.0 Ford Gt Red,$379.99,20334830517,"The Traxxas 4-Tec 2.0 Touring Car captures legendary Ford GT styling in a stunning 1/10 scale replica that is faithful to the original. Every detail is there including the taillights and exhaust tips. Built to be driven, this Ford GT replica rests on the Traxxas 4-Tec 2.0 chassis, and is like nothing Traxxas has ever produced in the past.",83056-4RED,Traxxas,On-Road,"Touring,Scale Replica",4WD,1/10,020334830517.jpg
Traxxas 4tec 2.0 Mustang Gt Black,$379.99,20334830432,Traxxas honors the unique spirit and attitude of the Ford Mustang with this 1/10 scale replica. Every aspect from the sculpted front grill to the sloping Fastback design is captured in faithful detail. The Traxxas Mustang GT begs to be driven hard on the all-new 4-TEC 2.0 chassis. Test drive the Traxxas Mustang GT today and discover the soul of the American muscle car.,83044-4,Traxxas,On-Road,"Touring,Scale Replica",4WD,1/10,intro-mustang-black.png
Traxxas 4Tec 2.0 Rtr Vxl,$509.99,20334830739,"The 4-Tec 2.0 VXL chassis provides the ultimate high speed driving experience. The high-tech chassis keeps weight positioned as low as possible for a crisp, responsive feel. The modular interlocking design allows easy maintenance while providing unprecedented rigidity and tight tolerances. The waterproof VXL-3s electronic speed control channels massive power to the Velineon brushless motor for four wheel tire-spinning acceleration and incredible 70+mph* top speed. A finely tuned suspension keeps the wheels glued to the pavement and Traxxas Stability Management (TSM) provides lightning-quick corrections to keep you in control. Grab the transmitter, rip full throttle, and hold on! The Traxxas 4-Tec 2.0 VXL delivers a high speed thrill ride like you’ve never experienced.",83076-4,Traxxas,On-Road,Touring,4WD,1/10,4tec.jpg
Traxxas Bandit VXL Brushless 1/10 RTR 2WD Buggy Blue,$379.99,20334244413,"The Traxxas Bandit VXL expands the Extreme Sports Buggy legacy with more power than you ever thought possible. The Velineon Brushless Power System accelerates into the stratosphere with jet-like thrust and incredible 70+mph top speed*! Traxxas Stability Management keeps it under control with arrow straight acceleration and sure-footed stopping power. The Bandit VXL is a low-slung, lightweight speed machine that's rocket fast on pavement and rips incredible roost off-road. Bandit VXL is a driver's machine that will put your skills to the test with its mind-blowing top speed and lightning quick handling response.",24076-4BLUE,Traxxas,Off-Road,Buggy,2WD,1/10,tra24076-4-blue.jpg
Traxxas Bigfoot Blue,$289.99,20334361110,"The Traxxas ""Bigfoot"" 1/10 RTR Monster Truck pays homage to the monster that created the excitement and passion for car-crushing monster trucks we know today. BIGFOOT is true monster truck royalty. Traxxas has captured the power and spirit of BIGFOOT in this fully licensed replica that lets you rip massive wheelies and crush at will, anytime, anywhere! Built Traxxas Tough for all-day fun, BIGFOOT comes out of the box fully assembled, waterproof, and Ready-To-Race.",36084-1,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36084-1-fire.jpg
Traxxas Bigfoot Classic Rtr,$335.99,20334360335,"BIGFOOT is “The Original Monster Truck”. This is the truck that started the monster truck phenomenon and brought car-crushing fun and excitement to fairgrounds and arenas everywhere. Traxxas faithfully captures the spirit and classic look of BIGFOOT No. 1 in amazing detail with this fully licensed replica. Relive the thrill of your first monster truck event with this classic powerhouse. Hammer the throttle for non-stop wheelies and crush the competition underneath its towering stance. Built Traxxas Tough for all-day fun, BIGFOOT comes out of the box fully assembled, waterproof, and Ready-To-Race.",36034-1classic,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36034-1.jpg
Traxxas Bigfoot Classic Special Flame Edition Rtr,$335.99,20334363411,The Truck That Started it All - with Flame Paint Scheme,36034-1BLUEX,Traxxas,Off-Road,Monster Truck,2WD,1/10,36034-1bluex.jpg
Traxxas BigFoot Silver,$289.99,20334361219,"The Traxxas ""Bigfoot"" 1/10 RTR Monster Truck pays homage to the monster that created the excitement and passion for car-crushing monster trucks we know today. BIGFOOT is true monster truck royalty. Traxxas has captured the power and spirit of BIGFOOT in this fully licensed replica that lets you rip massive wheelies and crush at will, anytime, anywhere! Built Traxxas Tough for all-day fun, BIGFOOT comes out of the box fully assembled, waterproof, and Ready-To-Race.",36084-1,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36084-1-silver_1.jpg
